NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,Team
11,Trae Young,PG,6-1,164.0,1998-09-19,US US,6,Oklahoma,ATLANTA HAWKS
5,Dyson Daniels,SG,6-8,199.0,2003-03-17,AU AU,2,,ATLANTA HAWKS
10,Zaccharie Risacher,SF,6-8,200.0,2005-04-08,ES ES,R,,ATLANTA HAWKS
17,Onyeka Okongwu,C,6-8,235.0,2000-12-11,US US,4,USC,ATLANTA HAWKS
27,Vit Krejci,PG,6-8,195.0,2000-06-19,CZ CZ,3,,ATLANTA HAWKS
15,Clint Capela,C,6-10,240.0,1994-05-18,CH CH,10,,ATLANTA HAWKS
24,Garrison Mathews,SG,6-5,215.0,1996-10-24,US US,5,Lipscomb,ATLANTA HAWKS
1,Jalen Johnson,SF,6-9,220.0,2001-12-18,US US,3,Duke,ATLANTA HAWKS
0,Dominick Barlow,SF,6-9,221.0,2003-05-26,US US,2,,ATLANTA HAWKS
18,Mouhamed Gueye,PF,6-11,210.0,2002-11-09,SN SN,1,Washington State,ATLANTA HAWKS
2,Keaton Wallace (TW),PG,6-3,195.0,1999-02-26,US US,R,Texas-San Antonio,ATLANTA HAWKS
14,Terance Mann,SG,6-5,215.0,1996-10-18,US US,5,Florida State,ATLANTA HAWKS
20,Georges Niang,PF,6-7,230.0,1993-06-17,US US,8,Iowa State,ATLANTA HAWKS
3,Caris LeVert,SG,6-6,205.0,1994-08-25,US US,8,Michigan,ATLANTA HAWKS
22,Larry Nance Jr.,PF,6-8,245.0,1993-01-01,US US,9,Wyoming,ATLANTA HAWKS
4,Kobe Bufkin,SG,6-4,195.0,2003-09-21,US US,1,Michigan,ATLANTA HAWKS
29,Daeqwon Plowden (TW),SG,6-6,215.0,1998-08-29,US US,R,Bowling Green,ATLANTA HAWKS
0,Jacob Toppin (TW),SF,6-9,205.0,2000-05-08,US US,1,"Rhode Island, Kentucky",ATLANTA HAWKS
11,Brook Lopez,C,7-1,282.0,1988-04-01,US US,16,Stanford,MILWAUKEE HAWKS
12,Taurean Prince,SF,6-6,218.0,1994-03-22,US US,8,Baylor,MILWAUKEE HAWKS
5,Gary Trent Jr.,SG,6-5,209.0,1999-01-18,US US,6,Duke,MILWAUKEE HAWKS
20,A.J. Green,SG,6-4,200.0,1999-09-27,US US,2,University of Northern Iowa,MILWAUKEE HAWKS
34,Giannis Antetokounmpo,PF,6-11,242.0,1994-12-06,GR GR,11,,MILWAUKEE HAWKS
44,Andre Jackson Jr.,SG,6-6,210.0,2001-11-13,US US,1,UConn,MILWAUKEE HAWKS
0,Damian Lillard,PG,6-2,195.0,1990-07-15,US US,12,Weber State,MILWAUKEE HAWKS
13,Ryan Rollins,PG,6-4,180.0,2002-07-03,US US,2,Toledo,MILWAUKEE HAWKS
9,Bobby Portis,PF,6-10,250.0,1995-02-10,US US,9,Arkansas,MILWAUKEE HAWKS
24,Pat Connaughton,SG,6-5,209.0,1993-01-06,US US,9,Notre Dame,MILWAUKEE HAWKS
18,Kyle Kuzma,PF,6-9,221.0,1995-07-24,US US,7,Utah,MILWAUKEE HAWKS
3,Kevin Porter Jr.,SG,6-4,203.0,2000-05-04,US US,4,USC,MILWAUKEE HAWKS
21,Tyler Smith,PF,6-11,224.0,2004-11-02,US US,R,,MILWAUKEE HAWKS
17,Stanley Umude (TW),SG,6-6,210.0,1999-04-12,US US,2,"South Dakota, Arkansas",MILWAUKEE HAWKS
7,Chris Livingston,SF,6-6,220.0,2003-10-15,US US,1,Kentucky,MILWAUKEE HAWKS
0,Jericho Sims,C,6-10,245.0,1998-10-20,US US,3,Texas,MILWAUKEE HAWKS
35,Pete Nance (TW),PF,6-11,230.0,2000-02-19,US US,1,"Northwestern, UNC",MILWAUKEE HAWKS
15,Jamaree Bouyea (TW),PG,6-2,180.0,1999-06-27,US US,2,San Francisco,MILWAUKEE HAWKS
11,Payton Pritchard,PG,6-1,195.0,1998-01-28,US US,4,Oregon,BOSTON CELTICS
9,Derrick White,SG,6-4,190.0,1994-07-02,US US,7,"Colorado-Colorado Springs, Colorado",BOSTON CELTICS
40,Luke Kornet,C,7-2,250.0,1995-07-15,US US,7,Vanderbilt,BOSTON CELTICS
0,Jayson Tatum,PF,6-8,210.0,1998-03-03,US US,7,Duke,BOSTON CELTICS
30,Sam Hauser,PF,6-8,215.0,1997-12-08,US US,3,"Marquette, Virginia",BOSTON CELTICS
7,Jaylen Brown,SF,6-6,223.0,1996-10-24,US US,8,California,BOSTON CELTICS
4,Jrue Holiday,PG,6-4,205.0,1990-06-12,US US,15,UCLA,BOSTON CELTICS
88,Neemias Queta,C,7-0,245.0,1999-07-13,PT PT,3,Utah State University,BOSTON CELTICS
42,Al Horford,C,6-9,240.0,1986-06-03,DO DO,17,Florida,BOSTON CELTICS
27,Jordan Walsh,PF,6-7,205.0,2004-03-03,US US,1,Arkansas,BOSTON CELTICS
8,Kristaps Porziņģis,C,7-2,240.0,1995-08-02,LV LV,8,,BOSTON CELTICS
26,Xavier Tillman Sr.,C,6-8,245.0,1999-01-12,US US,4,Michigan State,BOSTON CELTICS
55,Baylor Scheierman,SG,6-6,205.0,2000-09-26,US US,R,"South Dakota State, Creighton",BOSTON CELTICS
13,Drew Peterson (TW),PF,6-9,205.0,1999-11-09,US US,1,"Rice University, USC",BOSTON CELTICS
12,Torrey Craig,SF,6-7,221.0,1990-12-19,US US,7,USC Upstate,BOSTON CELTICS
20,JD Davison,PG,6-1,195.0,2002-10-03,US US,2,Alabama,BOSTON CELTICS
44,Miles Norris (TW),PF,6-10,220.0,2000-04-15,US US,R,"Oregon, City College of San Francisco, UC Santa Barbara",BOSTON CELTICS
45,Keon Johnson,SG,6-5,186.0,2002-03-10,US US,3,Tennessee,BROOKLYN NETS
22,Jalen Wilson,PF,6-8,225.0,2000-11-04,US US,1,Kansas,BROOKLYN NETS
33,Nic Claxton,C,6-11,215.0,1999-04-17,US US,5,Georgia,BROOKLYN NETS
"1, 8",Ziaire Williams,SF,6-9,215.0,2001-09-12,US US,3,Stanford,BROOKLYN NETS
13,Tyrese Martin,SG,6-6,215.0,1999-03-07,US US,1,"Rhode Island, UConn",BROOKLYN NETS
2,Cameron Johnson,PF,6-8,210.0,1996-03-03,US US,5,"Pitt, UNC",BROOKLYN NETS
20,Day'Ron Sharpe,C,6-11,265.0,2001-11-06,US US,3,UNC,BROOKLYN NETS
21,Noah Clowney,PF,6-10,210.0,2004-07-14,US US,1,Alabama,BROOKLYN NETS
9,Trendon Watford,PF,6-9,240.0,2000-11-09,US US,3,LSU,BROOKLYN NETS
4,Reece Beekman (TW),PG,6-1,190.0,2001-10-08,US US,R,Virginia,BROOKLYN NETS
1,D'Angelo Russell,PG,6-3,193.0,1996-02-23,US US,9,Ohio State,BROOKLYN NETS
12,Tosan Evbuomwan (TW),SF,6-8,219.0,2001-02-16,UK UK,1,Princeton,BROOKLYN NETS
24,Cam Thomas,SG,6-4,210.0,2001-10-13,JP JP,3,LSU,BROOKLYN NETS
27,Maxwell Lewis,SF,6-7,195.0,2002-07-27,US US,1,Pepperdine,BROOKLYN NETS
0,Dariq Whitehead,SF,6-7,220.0,2004-08-01,US US,1,Duke,BROOKLYN NETS
26,Drew Timme,PF,6-10,235.0,2000-09-09,US US,R,Gonzaga,BROOKLYN NETS
10,Tyson Etienne (TW),PG,6-2,203.0,1999-09-17,US US,R,Wichita State,BROOKLYN NETS
,De'Anthony Melton,PG,6-2,200.0,1998-05-28,US US,6,USC,BROOKLYN NETS
14,Matas Buzelis,SF,6-10,209.0,2004-10-13,US US,R,,CHICAGO BULLS
15,Julian Phillips,SF,6-8,198.0,2003-11-05,US US,1,Tennessee,CHICAGO BULLS
0,Coby White,SG,6-5,195.0,2000-02-16,US US,5,UNC,CHICAGO BULLS
9,Nikola Vučević,C,6-10,260.0,1990-10-24,CH CH,13,USC,CHICAGO BULLS
25,Dalen Terry,SG,6-7,195.0,2002-07-12,US US,2,Arizona,CHICAGO BULLS
3,Josh Giddey,PG,6-8,210.0,2002-10-10,AU AU,3,,CHICAGO BULLS
7,Jalen Smith,C,6-10,215.0,2000-03-16,US US,4,Maryland,CHICAGO BULLS
44,Patrick Williams,PF,6-7,215.0,2001-08-26,US US,4,Florida State,CHICAGO BULLS
22,Talen Horton-Tucker,SG,6-4,234.0,2000-11-25,US US,5,Iowa State,CHICAGO BULLS
11,Ayo Dosunmu,SG,6-5,200.0,2000-01-17,US US,3,Illinois,CHICAGO BULLS
5,Jevon Carter,PG,6-1,200.0,1995-09-14,US US,6,West Virginia,CHICAGO BULLS
2,Lonzo Ball,PG,6-6,190.0,1997-10-27,US US,5,UCLA,CHICAGO BULLS
12,Zach Collins,PF,6-11,250.0,1997-11-19,US US,6,Gonzaga,CHICAGO BULLS
13,Kevin Huerter,SG,6-7,190.0,1998-08-27,US US,6,Maryland,CHICAGO BULLS
